yyyymmdd,mean,top10_mean,max,std
20010401,0.5915651,18.925999,21.625,2.4295802
20010402,0.23854603,12.398001,17.9,1.2728666
20010403,0.001631746,0.23499998,0.945,0.027187256
20010404,3.174603e-05,0.005,0.049999997,0.0012594814
20010405,0.0021650793,0.331,0.705,0.029974774
20010406,0.09147937,3.6645,4.555,0.3996477
20010407,0.0069682538,0.666,1.315,0.06321567
20010408,0.07756825,2.032,3.94,0.24345154
20010409,0.19712698,3.8774998,5.3,0.5251223
20010410,0.21559048,5.9665,9.285,0.67702276
20010411,0.11983175,3.3130002,4.62,0.40004706
20010412,0.8243365,8.046,8.935,1.5070404
20010413,1.5426571,14.2655,17.32,2.6911583
20010414,1.3595269,15.230501,20.300001,2.6436658
20010415,0.6429079,11.319501,13.59,1.6205654
20010416,0.0043968256,0.30249998,0.49999997,0.02898469
20010417,0.20357142,7.271,10.54,0.8284696
20010418,0.47756508,18.282,24.435001,1.894615
20010419,0.06326349,3.1629999,4.03,0.32802877
20010420,0.013390475,1.166,2.165,0.1096004
20010421,0.1290476,8.3955,12.87,0.8370359
20010422,0.0013111111,0.19299999,0.29999998,0.0164465
20010423,0.0014603174,0.22999999,1.865,0.0476068
20010424,0.0014253968,0.22449999,1.2449999,0.03430234
20010425,0.00026984123,0.042499997,0.14499998,0.00506844
20010426,0.006619047,0.5295,0.84999996,0.049755093
20010427,0.15630794,4.6945,7.025,0.573548
20010428,0.25179365,11.775999,20.09,1.1954381
20010429,3.2224731,70.790504,77.365,10.447817
20010430,3.8544347,62.297997,67.07,9.722275
20010501,1.4312571,26.382498,31.579998,3.6564112
20010502,3.5588443,36.1445,45.754997,6.0530424
20010503,6.8255177,71.307495,77.37999,12.422397
20010504,7.2591424,52.761497,88.71,9.378682
20010505,7.971118,70.3795,83.565,10.187595
20010506,8.787679,47.666004,64.92,8.099611
20010507,22.861769,145.903,163.13498,24.452995
20010508,36.21649,210.83798,224.76996,40.50123
20010509,8.08107,96.898994,139.05501,12.624759
20010510,37.77754,162.44249,189.79,32.27426
20010511,37.549366,159.69899,185.155,31.630812
20010512,22.275587,223.58301,308.09998,36.567715
20010513,12.246326,132.0055,207.98,18.009323
20010514,0.41966665,14.7475,23.41,1.6355187
20010515,1.8243014,38.040997,45.179996,4.6742916
20010516,1.5231873,32.049,54.949997,3.7093134
20010517,2.0643969,32.599,47.17,4.3682737
20010518,8.109943,56.339,77.44501,11.21449
20010519,6.022828,57.794,63.92,9.799609
20010520,6.8610497,82.80849,117.534996,10.310693
20010521,4.026171,31.152002,40.235,5.8738756
20010522,12.236797,162.34903,238.82501,17.823507
20010523,18.451633,159.71799,193.13503,24.884407
20010524,15.411377,164.36299,185.315,22.354462
20010525,10.264458,100.8595,146.40001,14.404503
20010526,8.613784,50.560997,55.27999,10.121312
20010527,18.909407,156.2905,169.625,24.519073
20010528,7.966718,82.4435,101.524994,11.898467
20010529,14.209345,81.19601,138.59001,14.099523
20010530,21.405212,94.52999,98.97999,21.20712
20010531,20.447416,136.9075,157.01,20.034323
20010601,38.11294,235.01347,248.42995,50.148075
20010602,36.04069,213.34799,254.15504,40.439663
20010603,34.582348,163.767,204.26,36.48928
20010604,38.424698,168.6145,193.43002,39.626354
20010605,16.500576,124.6295,145.88998,17.74364
20010606,30.315077,114.47699,126.22,23.813185
20010607,31.971895,119.41901,133.295,26.603788
20010608,44.82948,148.58301,156.15,31.850367
20010609,16.06391,96.335,120.0,16.357437
20010610,15.326436,77.221504,92.18499,14.119684
20010611,16.865824,83.550995,91.17999,14.969914
20010612,34.086414,129.5335,158.11499,22.988487
20010613,49.144924,156.01299,176.93497,32.61594
20010614,57.68221,247.90349,269.27,44.67204
20010615,62.3566,225.12251,235.38997,43.527737
20010616,88.28732,315.45648,422.31006,63.63208
20010617,45.37887,159.7405,175.33,33.049053
20010618,34.835907,194.33301,213.48999,42.440502
20010619,36.19899,156.77701,181.61,31.645838
20010620,48.555435,167.59201,189.735,41.45181
20010621,24.950283,101.368996,108.135,23.011242
20010622,11.731918,107.4705,144.62502,18.24534
20010623,16.172451,94.41249,106.62499,20.073303
20010624,19.015022,144.56949,184.92998,25.621777
20010625,14.386181,80.141,91.13501,15.144616
20010626,9.451896,70.6845,82.494995,12.26776
20010627,24.234295,262.6255,424.18,33.280697
20010628,24.452108,125.8595,158.86499,24.551098
20010629,24.968327,102.96751,119.82999,18.583927
20010630,36.8419,143.34799,154.61497,29.383945
20010701,30.384115,145.8765,160.75502,26.89236
20010702,17.325485,106.253494,120.689995,19.56081
20010703,11.469232,74.493,89.815,10.985031
20010704,15.870193,109.848495,143.55501,16.830149
20010705,15.541989,95.4565,109.799995,18.115772
