yyyymmdd,mean,top10_mean,max,std
20010401,0.046223056,4.0059996,4.69,0.33493185
20010402,0.07717431,4.122,5.3549995,0.3768942
20010403,0.56609654,16.515,21.595001,1.8175204
20010404,1.0362653,16.659,23.495,2.339988
20010405,3.6794143,46.756996,54.264996,8.002325
20010406,3.0638893,102.047,142.88998,11.091068
20010407,2.258121,33.303997,37.229996,5.264867
20010408,5.3567877,60.416496,67.15,9.953051
20010409,1.5234979,40.714497,54.455,4.431759
20010410,10.077296,102.86949,121.064995,16.70969
20010411,15.011798,99.115,116.575,20.015701
20010412,12.925483,114.703,134.51003,21.158096
20010413,6.6835566,84.48999,101.47499,13.386442
20010414,4.134768,105.593506,128.41,11.200506
20010415,2.7424974,53.649498,78.590004,6.5617795
20010416,2.3734603,80.3865,91.005,8.690224
20010417,1.7011786,73.25099,124.96499,6.8876386
20010418,3.87892,54.461994,76.06,8.395846
20010419,2.0792806,49.976494,80.53999,5.733943
20010420,4.6675615,55.482002,68.01,9.382138
20010421,0.86403,34.7135,39.985,3.7010987
20010422,6.023803,55.6185,113.89499,10.559946
20010423,2.856605,31.9245,34.36,6.2265406
20010424,0.46118554,11.681,16.609999,1.2936355
20010425,0.20883316,7.576,11.079999,0.75755036
20010426,0.50699854,27.869,41.265,2.4011621
20010427,4.1834936,67.486496,80.21998,10.973069
20010428,4.487792,91.291,102.789986,11.982417
20010429,2.7292337,65.4025,72.945,9.123274
20010430,6.034726,83.5005,114.535,12.399597
20010501,3.1895173,66.2765,78.729996,9.370212
20010502,0.9405296,39.817497,45.41,4.219909
20010503,0.7849813,36.642498,55.199997,3.6177142
20010504,0.44929242,32.631996,52.454998,2.8039408
20010505,2.069065,70.74049,132.99,7.52735
20010506,5.9102135,80.061,91.810005,14.174352
20010507,3.12294,41.6875,60.83001,7.184624
20010508,0.44574273,33.736996,94.409996,2.98054
20010509,0.66282326,43.656998,60.125,3.5941665
20010510,0.1994939,11.897499,21.759998,1.1366686
20010511,0.090435795,2.908,3.33,0.33962774
20010512,1.5242339,29.137,51.515,4.153672
20010513,0.41313028,13.083501,14.7699995,1.4639205
20010514,0.018008435,2.318,8.070001,0.21847463
20010515,0.006159793,0.503,0.65,0.044109724
20010516,0.101977505,14.801999,51.244995,1.390916
20010517,0.17976335,10.0085,17.225,0.9021116
20010518,0.32235005,17.1725,23.224998,1.6331489
20010519,0.6346509,15.7525,29.599998,1.8775055
20010520,4.372861,32.161995,38.734997,5.7778826
20010521,4.6210146,46.2515,50.774994,7.5913386
20010522,15.01908,90.069,109.04999,18.034668
20010523,14.712283,103.644,123.62999,17.620514
20010524,6.622746,48.771496,58.239994,9.486758
20010525,6.410335,53.9745,62.559998,9.621362
20010526,7.681365,89.12049,132.70998,15.248751
20010527,3.3982618,42.239998,54.09,6.594279
20010528,14.009655,178.62949,246.27502,25.901413
20010529,4.5676155,53.875,62.435,8.528406
20010530,4.903971,43.902,48.905003,8.508454
20010531,1.0737958,13.102499,16.105,2.301411
20010601,0.511298,9.178,19.01,1.1809617
20010602,4.0305624,52.632996,60.71,8.18388
20010603,11.050892,57.258003,69.93001,11.850305
20010604,6.3180203,43.262497,54.019997,7.7625875
20010605,12.49539,120.7245,133.67001,20.94017
20010606,12.58177,103.703,112.65999,18.61204
20010607,31.319962,139.0345,175.53998,27.06749
20010608,14.366551,156.38799,206.78998,19.513191
20010609,14.821389,120.571,161.37997,18.436178
20010610,18.762997,93.243,116.00001,16.954332
20010611,43.879665,155.78851,252.57997,29.729559
20010612,27.363655,108.429,112.06501,23.05577
20010613,23.366068,80.57949,86.91,15.956284
20010614,32.150375,128.68701,139.875,27.77701
20010615,15.602695,138.951,152.33499,19.77537
20010616,4.8704314,65.81249,72.235,8.649681
20010617,10.933969,138.113,167.0,22.893944
20010618,2.6838639,38.19,49.504993,4.9786496
20010619,3.439679,56.781994,71.095,7.713121
20010620,4.1846857,54.0955,64.439995,8.938439
20010621,5.3922005,54.554497,71.45501,10.126198
20010622,9.610128,110.407,123.585,19.269447
20010623,4.413856,56.003002,80.145004,9.195345
20010624,1.6846836,30.8455,40.415,3.8558517
20010625,5.608503,63.23699,69.09499,11.178029
20010626,2.761209,36.213497,41.75,5.174394
20010627,9.942933,110.28099,126.64499,18.09476
20010628,9.244611,73.639,87.08001,14.56786
20010629,9.419824,71.409996,79.48,11.198252
20010630,7.2861924,52.906,54.76499,10.046271
20010701,9.919199,73.17699,94.07498,13.272754
20010702,11.180522,115.8735,137.39499,18.659464
20010703,17.226738,165.22299,209.79001,25.94888
20010704,18.752968,137.301,160.45,23.918497
20010705,12.995258,115.21049,124.954994,21.28672
20010706,6.3236747,58.977997,83.014984,9.350937
20010707,26.003065,198.319,261.56503,32.174503
20010708,44.362045,263.0455,297.595,47.249893
20010709,45.851326,287.25052,348.22006,50.19179
20010710,16.170248,102.05249,115.704994,18.453012
20010711,12.866321,63.125,67.244995,11.687629
20010712,6.474698,50.806496,86.75001,7.9197593
20010713,16.189138,92.604996,102.569984,17.673452
20010714,6.304519,40.450996,46.805004,7.803021
20010715,9.873634,80.810005,95.210014,13.915568
20010716,8.818669,73.002,83.27999,13.73306
20010717,8.29418,63.799995,80.54,10.194504
20010718,1.6947939,18.3445,28.719997,2.8288329
20010719,3.6652157,45.120502,47.895,7.265358
20010720,2.3664315,41.906,49.915,6.425005
20010721,1.7181396,18.056002,20.389997,3.0898886
20010722,5.6887374,54.989002,67.20001,9.61718
20010723,8.782275,82.134995,117.60501,12.167194
20010724,14.690725,109.255005,132.37502,21.591457
20010725,10.731326,88.1995,118.94003,14.228864
20010726,13.175125,116.90299,164.495,17.348608
20010727,9.922979,135.993,222.385,15.697932
20010728,9.6950655,89.332504,97.869995,14.795988
20010729,7.132809,103.33449,119.4,13.265832
20010730,7.4607673,54.854504,75.19001,8.433869
20010731,12.895134,70.488495,81.00001,13.0223675
20010801,14.4808855,83.447495,95.80999,14.351715
20010802,19.74548,119.56901,144.07503,22.740936
20010803,29.458824,135.51851,140.94,29.120085
20010804,16.622316,79.187,87.325,15.873445
20010805,6.155354,42.9345,46.32,9.770951
20010806,6.1185985,51.827496,57.34499,9.570631
20010807,14.626769,116.96399,124.87001,26.482857
20010808,10.8642435,133.481,149.94998,22.238789
20010809,12.708286,109.579,120.959984,20.097088
20010810,11.075911,66.403496,82.675,12.362873
20010811,6.938846,64.965996,82.67499,10.249674
20010812,3.8756745,35.5765,39.734997,6.3706803
20010813,9.190673,80.93549,88.76,13.910303
20010814,12.671715,72.043,79.86,14.999487
20010815,14.873403,102.934,104.755,22.357271
20010816,5.0446277,35.096,47.549995,7.088116
20010817,5.382509,72.16899,80.40999,10.011784
20010818,4.2675815,64.583496,77.06001,8.249864
20010819,3.370813,54.116497,66.06999,6.3173056
20010820,10.821657,53.389996,57.115,13.693235
20010821,2.8779519,27.888998,30.295,4.6739874
20010822,1.1243814,14.763499,17.304998,2.095589
20010823,1.7395946,18.671,21.050001,2.8980255
20010824,4.850488,62.97,69.05,8.4509535
20010825,3.3968158,40.689495,43.955,6.3592324
20010826,7.288064,115.488,132.05002,14.824307
20010827,1.9389715,37.836998,51.054996,4.4076858
20010828,1.2199438,15.6225,18.059998,2.4239473
20010829,0.89650655,10.7795,13.76,1.7053196
20010830,1.4237347,18.1135,23.665003,2.8498058
20010831,1.0507756,15.835999,21.994999,2.2883766
20010901,0.21252106,3.8890004,4.595,0.5182449
20010902,0.23422915,4.6050005,5.25,0.6095138
20010903,0.18324274,7.2170005,9.175001,0.72553986
20010904,0.3252999,8.346499,11.514999,0.8729877
20010905,0.20397845,4.1619997,4.9499993,0.57160336
20010906,0.23826149,8.0485,17.12,0.7438652
20010907,0.29407215,6.6184998,9.675,0.74562436
20010908,0.58716965,11.4314995,17.819998,1.3192389
20010909,0.37996015,5.2174997,6.3599997,0.6903259
20010910,0.47104263,7.7599998,14.58,0.9589996
20010911,1.0633576,15.679001,19.69,1.9831269
20010912,1.1740416,51.623497,113.505005,4.534488
20010913,1.8124462,20.878998,25.869997,3.4315758
20010914,6.7184143,58.552998,66.484985,11.366183
20010915,5.182313,42.334,52.544994,6.342357
20010916,16.324867,95.877495,122.064995,15.333491
20010917,13.001142,128.65099,165.10002,15.661644
20010918,11.842374,56.166496,67.36499,10.898044
20010919,10.613916,70.481,88.45,11.3161335
20010920,12.564525,112.743996,154.40498,16.312029
20010921,12.094113,88.949,123.17501,14.181863
20010922,13.9066925,78.833496,120.385,15.2864895
20010923,12.051021,80.136986,91.25998,12.327083
