yyyymmdd,mean,top10_mean,max,std
20010401,0.90877974,18.424498,29.664999,2.536259
20010402,0.38810518,10.641001,16.205,1.3742113
20010403,0.22742559,12.1075,27.550001,1.4543157
20010404,1.2107985,24.119,37.06,3.3477654
20010405,0.5343105,24.1595,50.989998,2.8344085
20010406,0.1204216,10.628,25.735,1.3323581
20010407,0.010887897,0.9674999,1.7249999,0.10613628
20010408,0.01594742,1.319,3.8249998,0.15995355
20010409,0.027822416,2.1209998,4.2549996,0.24002859
20010410,1.0245833,20.371,23.374998,3.3279564
20010411,0.61798114,23.707998,29.429998,2.9316149
20010412,1.4794346,39.9955,51.775,4.931322
20010413,0.4777033,18.707,49.25,2.4367535
20010414,0.6590228,14.301001,34.085003,1.9518968
20010415,0.4803869,13.585001,21.654999,1.7127149
20010416,0.37481648,15.856,39.195,1.9693142
20010417,0.5086359,22.401,41.234997,2.7050536
20010418,0.86398315,40.0595,127.9,5.6023626
20010419,0.55279267,24.7465,45.56,2.9886053
20010420,1.3542907,51.903496,66.38,6.110403
20010421,0.4262599,18.573,39.325,2.211409
20010422,5.0888686,46.830498,53.48,9.61684
20010423,0.04157242,2.3405,5.18,0.2745281
20010424,4.469231,62.053,95.095,8.22022
20010425,19.782484,123.16699,141.71,25.670313
20010426,3.6158533,25.773499,31.6,5.2201176
20010427,0.62865573,14.9800005,30.1,2.084106
20010428,0.23757936,4.758,7.12,0.6516855
20010429,1.1520139,16.405499,19.905,2.9606538
20010430,1.9314533,19.7855,23.824999,3.6206326
20010501,0.65191966,14.8495,21.685,1.9962037
20010502,1.4122816,25.8785,42.005,3.6560977
20010503,3.6827676,74.18849,168.99,9.839524
20010504,0.45827878,14.801,25.185001,1.8358556
20010505,0.8864236,11.879499,13.974999,1.9928302
20010506,4.088695,46.189,58.34499,8.610208
20010507,0.5791865,8.584499,10.7,1.2407185
20010508,1.8014882,42.629997,151.10498,6.8448935
20010509,22.539091,105.17201,124.87001,25.645126
20010510,72.59554,293.15952,325.16006,60.46194
20010511,55.53082,228.905,281.10498,46.66368
20010512,20.325754,66.14549,82.39999,13.297747
20010513,5.047754,24.714,33.065,4.337206
20010514,1.2514633,10.8375,13.805001,1.9568473
20010515,3.561632,65.909996,128.655,9.7665415
20010516,1.0889783,27.255499,51.274994,3.6006134
20010517,0.75117064,22.22,30.355,2.8930771
20010518,0.5470486,13.041501,20.884998,1.6725384
20010519,1.6670437,28.713001,38.729996,3.848431
20010520,3.5285563,50.029495,63.46,6.9529862
20010521,8.769618,43.2315,52.429996,8.519992
20010522,14.668478,118.48749,185.00497,18.390753
20010523,21.329512,90.3465,147.305,15.611308
20010524,10.989112,64.67549,82.695,11.703481
20010525,16.582718,108.8275,151.42,15.051986
20010526,6.7602725,42.008495,52.414993,7.291153
20010527,21.72985,72.036995,96.13499,15.677112
20010528,14.524132,69.847,87.565,13.375758
20010529,3.271835,25.1225,29.449999,4.6456475
20010530,1.0684723,15.133,19.744999,2.362257
20010531,2.9211454,50.8225,101.94,6.8514733
20010601,2.4802332,23.623999,31.184998,3.7851129
20010602,5.914221,60.122997,125.18999,9.357874
20010603,6.718383,97.113495,141.47998,13.760622
20010604,13.323451,95.493004,126.58499,17.8583
20010605,2.4601734,49.8935,70.564995,6.8385563
20010606,9.8800745,103.56499,187.84001,15.26197
20010607,4.347832,55.537,129.67499,7.734941
20010608,3.4646876,44.663498,61.670006,6.8589582
20010609,8.107951,71.8545,121.815,10.347857
20010610,13.104861,82.44299,128.045,13.062641
20010611,7.3347216,44.198006,61.825,8.14525
20010612,3.403408,21.313,44.099995,4.1777177
20010613,0.9295883,12.053499,17.555,1.8828537
20010614,1.0831498,12.687999,21.729996,2.0798593
20010615,1.3727529,24.975,41.870003,3.378512
20010616,6.7274995,41.435997,52.75,9.204284
20010617,21.830418,101.21999,111.88001,22.20053
20010618,25.486277,77.776505,87.020004,20.413965
20010619,8.453963,59.629498,70.75,9.406575
20010620,4.743358,22.599499,25.205,4.721314
20010621,15.951869,82.87049,117.219986,12.43707
20010622,56.77712,164.5415,179.47003,32.19114
20010623,28.440708,102.2965,112.29498,22.060688
20010624,12.690518,91.523994,114.229996,12.682573
20010625,2.3168848,22.501501,28.695,3.7311625
20010626,5.602341,26.891998,34.48,6.136905
20010627,10.318873,50.493996,58.435,11.090732
20010628,14.570656,80.726,100.75999,15.753785
20010629,13.334887,64.60899,68.06999,14.192866
20010630,7.2307744,52.993996,67.395,9.515846
20010701,6.9772716,45.459496,48.74,10.981945
20010702,6.078923,78.5725,105.055016,11.866572
20010703,52.133995,143.66899,152.62,31.971571
20010704,158.23808,383.705,412.14,84.484955
20010705,29.832115,89.224,97.314995,18.458239
20010706,10.572289,48.344994,59.20499,9.635364
20010707,2.3242064,33.2175,60.895004,4.681586
20010708,6.8842955,57.558502,72.689995,9.393988
20010709,4.853755,40.560997,80.9,7.7640605
20010710,7.512262,30.124496,38.594994,5.867795
20010711,7.593854,32.859,40.59,6.5876517
20010712,8.860154,63.5615,127.45002,10.505062
20010713,11.09747,55.240997,129.99,10.368621
20010714,11.502109,51.641003,59.875,11.182413
20010715,4.2519393,42.5495,76.9,6.5254407
20010716,6.6491866,44.7675,55.31499,8.973996
20010717,13.053516,144.92549,198.305,19.645945
20010718,22.20046,59.948505,65.755,12.25707
20010719,31.523706,117.267006,148.13498,21.426317
20010720,11.945481,62.966003,67.840004,12.516484
20010721,3.577614,43.7535,63.809994,6.9534287
20010722,8.707068,49.64,55.420006,10.196762
20010723,17.044771,90.38049,106.20499,17.07973
20010724,19.203978,62.234997,69.149994,12.72874
20010725,8.7157545,66.513,76.55499,11.658623
20010726,9.026166,47.869,69.2,9.613262
20010727,36.782154,192.91751,334.52,35.443592
20010728,26.586409,164.93901,336.34003,23.873995
20010729,15.219508,78.542496,95.055,15.000856
20010730,3.2221282,28.309998,42.434998,4.475444
20010731,3.7783437,25.613998,27.724997,4.9708023
20010801,4.85314,22.505999,27.799997,4.7917867
20010802,15.339187,68.2515,75.39499,15.363361
20010803,14.366889,79.68899,113.59998,17.1773
20010804,8.887451,38.322,43.059994,8.436639
20010805,16.756424,105.659,156.29,17.480978
20010806,17.609047,80.239,102.11499,18.173944
20010807,13.677356,69.8035,80.33999,16.834822
20010808,1.2094294,9.927501,11.535,1.9184259
20010809,5.7860713,70.862495,90.76,11.681677
20010810,6.774876,39.181496,47.565,7.3001585
20010811,36.255054,210.7695,243.81499,36.602524
20010812,13.208135,107.33999,127.05001,18.68395
20010813,10.674761,54.338,60.475,10.799399
20010814,16.821487,108.1405,131.27998,16.152168
20010815,19.243368,74.0065,82.37,14.17841
20010816,40.570473,368.83197,399.58502,67.24413
20010817,38.338154,210.629,277.31497,41.902634
20010818,16.671173,113.9355,125.55501,24.693521
20010819,9.207946,43.014996,49.93,8.773004
20010820,8.5067215,63.786995,87.665,9.384782
20010821,4.9781294,54.927998,106.604996,7.2095375
20010822,10.877808,48.3955,67.28001,9.072579
20010823,55.375694,314.99103,362.86502,69.82542
20010824,47.60274,445.65,622.13,73.47357
20010825,29.85995,329.83,350.61,49.658783
20010826,40.699474,310.263,361.235,58.627594
20010827,21.775318,97.80699,113.949974,21.077559
20010828,27.756443,93.451,101.989975,21.438593
20010829,4.357113,41.4795,60.744987,5.6929317
20010830,4.5765376,36.849003,54.045002,5.946704
20010831,5.8494396,47.508495,73.15999,6.8665566
20010901,18.23069,86.722,108.935,14.851652
20010902,45.442593,317.73047,380.47003,45.70901
20010903,14.987719,92.14101,112.674995,17.090288
20010904,16.791336,82.9965,100.39999,14.867742
20010905,5.1729264,27.970001,34.135,5.330629
20010906,4.90747,27.305996,33.645,5.4650197
20010907,21.575804,191.48502,256.58002,30.609106
20010908,17.355108,99.199,116.265015,20.042355
20010909,10.256573,93.427986,127.58998,15.38098
20010910,1.8362004,31.342,60.989994,4.107263
20010911,4.105863,68.654,90.229996,9.015368
20010912,5.743368,40.529003,65.854996,6.5161066
20010913,7.4073806,56.399,72.865005,9.29411
20010914,8.9103365,54.658997,85.365005,9.713273
20010915,5.178556,29.7185,34.555,5.532808
20010916,14.315184,68.719,79.78499,12.263222
20010917,4.256766,40.601997,51.94,6.6725283
20010918,4.965312,36.051502,48.61,6.4358196
20010919,9.807187,67.5535,94.475,10.608268
20010920,11.905511,57.426502,65.439995,12.113475
20010921,16.247871,84.564,100.145004,17.344555
20010922,41.121346,196.88998,256.82498,42.49959
20010923,55.247505,171.4065,192.91501,32.6803
20010924,39.293564,259.20502,283.07004,50.794792
20010925,23.674162,128.0235,147.79503,24.235794
20010926,4.2244644,25.488499,30.344995,4.2634997
20010927,1.0171479,7.8049994,9.67,1.3588245
20010928,1.8293302,14.414999,23.630001,2.1497872
20010929,4.9722176,51.968,105.93001,7.3232427
20010930,7.726448,129.646,152.34499,18.074623
20020401,0.009965277,1.0045,3.8649998,0.1566357
20020402,0.010367063,0.95149994,2.725,0.11742341
20020403,0.050481148,2.7185001,4.605,0.31429672
20020404,0.074598216,4.4784994,11.745,0.55203176
20020405,0.22013888,7.0564995,16.48,0.93077743
20020406,0.5514335,18.8535,33.86,2.2104578
20020407,0.044826392,2.8635,4.81,0.32597244
20020408,0.106711306,5.259,7.45,0.59972566
20020409,0.14394346,8.747,20.68,1.0787137
20020410,0.1004117,4.3745,7.605,0.5221453
20020411,0.09068948,4.2215004,8.85,0.5072172
20020412,0.052346226,3.1725,7.255,0.3746511
20020413,0.054583333,2.5005002,4.1450005,0.2964137
20020414,0.094092265,3.053,5.8499994,0.39546734
20020415,4.6416464,39.737003,45.635,7.6025295
20020416,0.1918353,5.2004995,7.8349996,0.66141796
20020417,0.22172125,6.45,9.605,0.847371
20020418,3.235392,33.104,44.35,5.84743
20020419,0.39125994,8.067999,13.450001,1.0870737
20020420,0.41869542,11.265,15.24,1.4128402
20020421,0.15507439,3.368,4.3600006,0.44212157
20020422,0.22452381,4.8415003,6.6349998,0.7252466
20020423,0.15214284,4.7105002,6.595,0.60689896
20020424,0.53093255,29.476501,67.45,3.517791
20020425,3.159727,32.919502,41.700005,5.389574
20020426,0.8376934,22.5735,62.565,2.8648372
20020427,0.088090286,4.2510004,6.66,0.48488155
20020428,1.7355356,22.793,33.64,3.9283504
20020429,0.9215674,44.722496,86.41499,5.0832987
20020430,0.04278274,3.2979999,4.805,0.35191366
20020501,0.18030259,5.1055,8.155001,0.68982166
20020502,0.10258433,3.3969998,5.925,0.41429496
20020503,0.21191469,4.461,5.6099997,0.64295906
20020504,0.06437996,2.0224998,3.135,0.24955134
20020505,0.049037695,1.3199999,1.7099999,0.18479374
20020506,0.23891369,11.2815,17.644999,1.304995
20020507,0.3802282,15.0765,27.42,1.7665348
20020508,0.07741071,2.8379998,6.69,0.35780138
20020509,0.14033729,5.6465006,15.705002,0.7191726
20020510,1.3969146,26.9315,43.07,3.8703609
20020511,2.1790774,29.7565,43.334995,4.516154
20020512,0.5835814,12.528501,19.52,1.737133
20020513,0.9397867,18.839499,27.224998,2.684027
20020514,0.9881944,20.8005,32.57,2.6858113
20020515,1.3112797,32.3065,39.16999,4.2454233
20020516,3.9766567,60.899,103.27,7.740192
20020517,1.9682392,20.116,21.785,3.6001914
20020518,2.8623261,57.792,78.100006,7.150643
20020519,15.0218115,84.425995,100.424995,15.646682
20020520,29.921158,194.6495,321.13004,28.421127
20020521,12.1699295,55.498497,65.86499,13.50483
20020522,13.471103,78.035995,111.27999,14.059409
20020523,12.80041,54.926502,74.729996,11.395702
20020524,11.347593,55.1125,61.76999,11.35115
20020525,25.69744,118.169495,140.81499,21.91003
