yyyymmdd,mean,top10_mean,max,std
20010401,18.164982,71.959496,115.87501,14.156781
20010402,12.5250225,47.012993,61.295,11.191159
20010403,8.236864,37.79,44.535,9.083831
20010404,27.692244,76.505,95.545006,15.088963
20010405,15.529741,119.046,240.13004,21.368853
20010406,16.81709,88.482994,124.21001,15.991835
20010407,13.657315,82.344,97.82001,16.578478
20010408,24.755537,132.2275,194.175,23.445475
20010409,13.93866,66.506,73.465004,12.070492
20010410,4.646716,41.612,49.090004,7.5855317
20010411,21.518291,99.746,182.89502,17.861664
20010412,19.684277,107.00549,180.77501,18.90099
20010413,27.74637,95.24999,130.075,19.414871
20010414,3.5916457,30.0625,38.89,5.903581
20010415,33.68478,116.5995,203.15498,22.15462
20010416,22.732323,172.424,286.925,24.12255
20010417,4.3326054,27.536999,38.734997,5.192524
20010418,18.555016,78.2125,102.26999,16.18417
20010419,7.3448052,52.701,105.005005,8.097116
20010420,14.261621,47.744,53.405,9.733302
20010421,2.6314664,26.187,40.69,4.553372
20010422,19.510866,99.7715,108.38001,22.049248
20010423,7.187839,36.322998,44.265,7.576626
20010424,12.491459,49.922504,68.7,10.326321
20010425,40.54776,208.27649,287.805,32.32713
20010426,27.678003,94.637,113.06999,23.74653
20010427,22.757605,70.114494,90.96,14.323721
20010428,33.212006,101.89949,107.70498,21.640991
20010429,8.47007,59.996998,122.53499,12.160953
20010430,57.738842,189.77597,267.04498,35.962887
20010501,16.915491,62.185997,78.915,11.908312
20010502,26.622824,109.02799,123.325005,20.493887
20010503,20.790062,86.339005,104.834984,18.754646
20010504,3.8083851,22.6135,26.89,4.9439497
20010505,15.717807,73.265495,96.725,13.938945
20010506,21.336433,145.19199,234.56999,24.263645
20010507,24.459969,85.0365,97.06002,18.162355
20010508,9.503315,93.625496,169.235,16.114569
20010509,23.365772,212.693,278.91504,39.238297
20010510,6.564649,39.170002,47.885,8.226972
20010511,27.302332,144.98201,230.05002,31.545778
20010512,7.579922,43.296497,54.590004,9.218814
20010513,4.9949765,51.595497,76.3,9.118651
20010514,0.60250384,10.037001,16.464998,1.6138009
20010515,0.44726205,7.0769997,16.875,1.1226151
20010516,0.54108423,8.0645,12.9,1.303619
20010517,1.0935023,8.451499,10.725001,1.6905131
20010518,0.41631043,8.58,15.66,1.3133802
20010519,1.9359672,26.851501,34.12,5.215571
20010520,5.8999686,57.2725,81.75499,10.440662
20010521,36.171333,119.5355,155.09499,21.95382
20010522,11.443394,102.46649,185.265,16.107037
20010523,4.779578,46.860497,114.03,8.677454
20010524,2.032816,12.844999,20.539999,2.7978742
20010525,10.629633,46.9315,60.069992,10.85365
20010526,24.36575,109.99149,137.92998,23.007408
20010527,13.061801,69.8365,126.329994,14.531375
20010528,6.5382686,38.7515,48.665005,9.106375
20010529,25.886536,117.143005,173.99501,24.805561
20010530,24.954134,146.574,203.02,26.538801
20010531,48.93847,171.243,213.035,35.712
20010601,4.046771,16.5445,21.845,3.9381669
20010602,22.670502,119.83299,150.91501,20.03401
20010603,20.189087,63.706,82.065,14.967679
20010604,22.085724,73.75,81.46,17.458
20010605,4.2169657,39.996998,67.91499,7.0794325
20010606,14.857652,89.4915,171.03,15.539568
20010607,12.501334,84.2115,98.174995,15.452851
20010608,32.142723,115.893005,134.87498,24.810658
20010609,43.43619,146.123,167.235,32.42664
20010610,25.093767,119.4855,173.33498,23.35383
20010611,7.1000004,33.4155,50.034996,6.807369
20010612,27.380445,166.81502,200.065,31.591068
20010613,26.7462,79.391495,95.45499,16.616013
20010614,6.234321,40.161,48.199997,7.986867
20010615,21.849117,66.8945,71.555,15.114082
20010616,3.0520046,25.3905,30.455,4.395615
20010617,12.718175,60.294994,66.84999,13.969613
20010618,2.028362,10.1935,11.749999,2.3865554
20010619,11.599259,48.991,61.215,10.087814
20010620,31.941023,108.1005,129.23497,22.009214
20010621,19.226894,60.648,80.71001,12.601483
20010622,21.860249,59.264503,81.59001,12.767615
20010623,17.066778,53.484,57.4,10.38966
20010624,12.46805,62.8815,80.825,13.81505
20010625,17.110998,93.953,140.51498,17.439175
20010626,2.5571373,15.4155,18.595,3.587318
20010627,9.149476,55.918495,64.72,12.405196
20010628,1.1076208,8.858999,10.82,1.778486
20010629,2.5315988,10.088499,12.764999,2.519556
20010630,0.56812006,7.141,9.004999,1.1410582
20010701,2.988479,12.447,14.360001,3.0569022
20010702,7.354228,28.385,30.135,6.853278
20010703,1.5522465,11.632001,13.705,2.2092938
20010704,1.6716459,29.258999,47.94,4.251881
20010705,13.586317,115.209984,156.555,19.574093
20010706,0.095468014,2.421,7.1800003,0.4071079
20010707,0.04204368,1.3234999,2.8899999,0.20038758
20010708,0.50398594,8.6125,11.535,1.4743646
20010709,1.5472932,14.0795,17.699999,2.2695184
20010710,1.8354056,10.15,20.145,1.8466265
20010711,7.4081664,50.059994,58.894993,11.289769
20010712,2.185577,18.4245,36.995003,3.6660762
20010713,7.6927843,58.085,69.48499,10.904759
20010714,20.360756,52.122997,55.82999,10.562793
20010715,13.913634,57.461,70.05499,11.898234
20010716,5.8247194,24.4305,34.204998,5.4000564
20010717,12.990429,56.253002,79.524994,12.2184305
20010718,21.487036,80.6815,89.53499,15.749284
20010719,7.564118,38.547497,46.239998,8.883575
20010720,2.455905,19.019001,25.189997,3.3725495
20010721,3.3102105,15.095001,21.695,3.229435
20010722,3.84493,21.2035,23.895,4.246759
20010723,0.89921993,8.9845,15.835001,1.5658687
20010724,3.1717005,20.969501,24.680002,4.6109037
20010725,9.089586,57.230995,64.42999,12.222002
20010726,21.181076,76.2025,84.00999,18.166681
20010727,73.71476,162.21402,194.42502,38.852356
20010728,13.93074,54.429993,60.094997,11.370075
20010729,24.714397,79.572,83.28499,22.08141
20010730,1.0993838,9.847499,13.875001,1.9863075
20010731,1.8320202,9.001,11.86,1.9463634
20010801,1.8633932,8.825,10.960001,1.8802112
20010802,0.9288534,8.138499,9.855,1.6506681
20010803,0.71648985,9.633501,13.860001,1.5951282
20010804,13.076833,88.32199,130.73,14.461078
20010805,10.993721,46.239998,52.825005,9.235966
20010806,14.060639,47.396,52.974995,10.849814
20010807,10.672972,48.823498,59.834995,10.658204
20010808,1.5381045,8.645999,10.369999,1.7838238
20010809,6.3628783,24.5655,26.484999,5.717124
20010810,5.7175665,26.3905,34.065002,5.2704797
20010811,19.18663,59.409004,78.025,10.478184
20010812,25.593174,118.92949,124.45501,30.793028
20010813,14.047495,43.452003,64.07,8.795076
20010814,7.90337,23.129501,28.409998,5.536835
20010815,3.2681978,16.563,18.449999,3.2373583
20010816,0.8525819,6.6005006,7.5299997,1.2436736
20010817,0.7073713,4.1255,6.005,0.9039341
20010818,0.67335415,5.8624997,10.065,1.0816426
20010819,0.40266773,4.8015003,6.4449997,0.83447766
20010820,2.393011,39.924496,57.645,6.549125
20010821,0.26738688,3.918,5.3999996,0.6362703
20010822,0.7017862,11.439501,14.955002,1.9249512
20010823,2.1346254,8.379499,9.940001,2.0147548
20010824,0.21957879,3.3209999,4.3849998,0.5500344
20010825,0.08444618,1.7405001,2.26,0.28417417
20010826,0.34351793,5.2739997,6.6499996,0.8272433
20010827,0.5314743,9.667,18.24,1.5161526
20010828,0.9708112,7.444499,12.034999,1.5510287
20010829,1.444883,18.526499,29.29,3.0619445
20010830,1.4056786,18.882,24.03,3.3470135
20010831,6.083955,43.064995,53.68,8.733065
20010901,4.0367084,40.980503,60.539997,7.3520474
20010902,2.7567315,22.823498,26.569998,4.2643976
20010903,28.568277,140.676,159.59999,31.944773
20010904,35.51054,117.6015,141.715,22.804405
20010905,4.442106,20.097998,21.409998,4.3694634
20010906,9.050475,38.8545,60.21999,8.637704
20010907,26.299328,73.4825,81.425,13.62757
20010908,8.428619,32.9855,38.464993,5.938086
20010909,14.295959,57.709496,97.51499,11.506586
20010910,20.07763,70.402,76.515,16.1336
20010911,8.297481,37.994495,44.42,8.65543
20010912,12.551575,53.478493,84.2,10.949269
20010913,9.4445305,54.405,62.345,11.650549
20010914,16.57971,43.559498,49.804996,9.9782915
20010915,5.179539,24.628498,30.355,5.1691947
20010916,8.462916,34.662,41.250004,7.625739
20010917,2.929992,26.854502,57.350006,4.922683
20010918,8.578721,43.853,49.404995,10.44792
20010919,38.23243,84.098,94.85,17.59791
20010920,25.771545,129.976,146.47499,26.523138
20010921,18.964048,123.4035,187.39497,18.923552
20010922,5.2730184,28.155499,59.89,6.1559834
20010923,32.34666,85.082,91.91999,23.331558
20010924,14.213306,84.471504,109.865,16.01194
20010925,7.324782,44.984,59.12,7.522687
20010926,25.359812,70.087494,88.094986,15.328851
20010927,7.7475266,28.502499,33.88,5.839529
20010928,19.905592,66.45351,73.899994,16.760284
20010929,23.198797,73.599,83.24999,18.359169
20010930,23.809555,103.607994,121.21501,20.021929
20020401,3.0192823,15.822499,17.715,4.073398
20020402,4.237597,23.151499,29.29,5.910578
20020403,2.6931121,21.008001,24.095,4.5867395
20020404,7.4462557,41.599003,72.475,8.269913
20020405,2.0572388,24.796,31.774998,3.8911834
20020406,24.006529,70.385994,93.79,13.312754
20020407,23.168081,110.31,141.125,23.820353
20020408,22.724281,98.3825,112.034996,21.104778
20020409,8.73667,37.361496,48.639996,7.789384
20020410,25.210491,133.7045,236.40501,21.751347
20020411,24.979147,91.5815,111.48,17.36634
20020412,32.4743,153.802,279.535,30.464634
20020413,19.013214,88.1615,128.975,14.519019
20020414,24.138649,139.47,208.24998,22.5038
20020415,20.71702,63.965004,98.185005,13.733358
20020416,14.6571045,81.00499,103.68,18.431957
20020417,9.026755,36.2985,40.429996,8.3327055
20020418,3.4019032,15.649498,18.605,3.2009501
20020419,18.193838,125.76449,188.79497,20.636885
20020420,45.660625,228.11548,448.50006,32.60714
20020421,5.122137,25.969997,31.609999,5.1372843
20020422,4.344867,53.819496,66.73499,9.586903
20020423,4.852714,112.726,171.09,16.73829
20020424,9.111427,57.083504,128.71501,9.568913
20020425,11.853603,96.66701,153.465,15.759275
20020426,20.95904,81.368,91.05501,18.70944
20020427,45.61127,154.09148,197.025,33.779514
20020428,14.465569,52.549995,60.48,15.232783
20020429,7.383159,39.481,50.89,8.654215
20020430,52.649254,144.0545,225.74501,25.914387
20020501,19.051216,92.7375,114.285,17.415638
20020502,7.6272,51.708496,62.305004,9.656544
20020503,78.94714,195.881,242.77003,42.271084
20020504,10.216848,40.556,72.445,7.6318407
20020505,55.953472,246.29199,288.33502,39.198124
20020506,16.143845,75.291504,103.21999,14.260875
20020507,64.63691,232.68948,360.43997,42.825245
20020508,19.515802,54.303997,70.075,12.161546
20020509,11.11908,54.474,65.955,12.606605
20020510,1.7706786,23.146,34.890003,3.9422455
20020511,0.71999997,7.1005006,9.910001,1.3014247
20020512,2.1136973,11.283,14.26,2.4223917
20020513,1.426014,8.943,12.07,1.836507
20020514,1.3496646,25.777002,43.249996,4.0737224
20020515,0.34136504,9.844,31.544998,1.6513945
20020516,0.10888455,2.7459998,5.8799996,0.42151436
20020517,0.08079562,1.8015,2.29,0.28871965
20020518,1.2959282,19.909498,25.679998,3.1937404
20020519,2.2896566,15.920499,25.175,2.863165
20020520,5.2049613,43.117,71.10501,8.816944
20020521,11.461021,51.310997,58.795006,11.378597
20020522,27.742517,207.77048,282.42,34.443813
20020523,13.836888,70.8975,86.685005,14.485663
20020524,4.913338,32.045,38.819996,6.2862315
20020525,9.824017,81.756,227.33498,14.17066
20020526,4.7381043,51.495003,59.644993,9.817133
20020527,1.5552574,16.2885,17.14,2.9192173
20020528,5.914321,51.385998,73.89501,8.445743
20020529,4.492457,31.197,47.095,6.131741
