yyyymmdd,accu,mean,top10_mean,max,std
20010401,290.4,0.936774193548387,14.25,22.5,2.9802363914648526
20010402,72.3,0.22593749999999999,3.7,9.5,0.7949345860470218
20010403,3110.5,10.131921824104234,73.35,91.5,18.254477578971823
20010404,4533.8,15.687889273356403,49.25,75.0,10.7834564456428
20010405,2509.2,8.652413793103447,27.2,33.5,6.4384468330396825
20010406,176.6,0.5733766233766233,6.95,27.5,1.822159494059506
20010407,2628.5,9.421146953405017,50.75,69.5,11.40314130664916
20010408,5558.5,19.36759581881533,83.45,120.5,21.56200431565708
20010409,641.1,2.0882736156351793,18.3,26.5,4.030000600147176
20010410,358.8,1.2589473684210526,8.6,12.0,2.0101057702907656
20010411,4864.0,19.0,59.45,94.5,14.315286300839393
20010412,529.7,1.753973509933775,16.25,31.0,3.526216962344127
20010413,52.8,0.1681528662420382,2.65,8.0,0.6094309987496596
20010414,256.0,0.8178913738019169,14.75,40.5,3.2497725692390578
20010415,261.4,0.8351437699680511,11.2,21.0,2.4247086834870455
20010416,691.5,2.267213114754098,20.4,52.0,4.591271880336892
20010417,544.8,1.8159999999999998,24.1,38.5,4.9674551499401245
20010418,3656.6,12.522602739726027,37.3,48.0,9.933634372971602
20010419,1071.4,3.4785714285714286,26.25,32.5,6.115224393900449
20010420,5636.6,18.914765100671143,128.85,188.0,28.809691172967042
20010421,2650.6,8.805980066445182,41.7,56.5,11.759377290997508
20010422,1220.6,4.05514950166113,32.75,59.5,6.8274763723884835
20010423,154.2,0.49581993569131827,7.65,12.5,1.4984928826475397
20010424,379.7,1.2368078175895765,13.25,27.5,2.982803084338436
20010425,633.7,2.0914191419141916,18.75,28.5,4.1983879075592645
20010426,766.8,2.5140983606557374,15.95,21.0,3.887090604471983
20010427,62.0,0.19558359621451105,4.9,19.0,1.269483882601577
20010428,74.0,0.23052959501557632,6.93,31.8,2.061908508572159
20010429,22.3,0.06925465838509318,1.9300000000000002,5.0,0.4004873627165916
20010430,200.8,0.6294670846394985,9.75,16.0,1.9950118119435587
20010501,1990.6,6.65752508361204,49.4,75.0,11.869841857171211
20010502,564.2,1.831818181818182,15.080000000000002,25.0,3.3662805507210667
20010503,1421.0,4.985964912280702,37.4,79.5,8.135562793297163
20010504,348.5,1.1314935064935066,22.55,62.5,5.090870525215044
20010505,91.8,0.2990228013029316,4.46,10.5,0.967803697152874
20010506,49.6,0.15403726708074533,4.779999999999999,25.0,1.4777225127533657
20010507,212.3,0.6870550161812298,11.5,34.0,2.6182260231500414
20010508,2204.0,7.5479452054794525,25.2,33.5,5.766675868499982
20010509,4002.5,13.754295532646049,80.47,117.0,17.529688330296523
20010510,2736.8,8.828387096774193,55.55,80.5,13.456058737735278
20010511,1874.2,6.331756756756757,63.6,83.5,13.840395914711683
20010512,3775.8,12.420394736842105,118.15,165.0,25.948620384216632
20010513,8282.9,27.42682119205298,183.9,248.0,48.27940454417612
20010514,590.6,1.9237785016286646,19.6,37.5,4.154380921019636
20010515,423.7,1.3756493506493506,16.3,29.0,3.6096854605073663
20010516,685.3,2.2692052980132447,20.3,34.5,4.6584693252764335
20010517,587.5,1.938943894389439,19.35,24.0,4.266509561120892
20010518,2487.7,8.884642857142856,47.55,76.0,11.758836185774404
20010519,13466.6,49.692250922509224,153.9,171.0,46.93390475942267
20010520,17269.5,59.345360824742265,389.75,547.5,84.32392585503358
20010521,1451.3,4.8538461538461535,38.7,70.5,9.209048022171409
20010522,10623.9,40.242045454545455,123.65,153.0,29.197312252771017
20010523,1520.7,4.985901639344262,32.93,47.5,7.650901452737808
20010524,46.0,0.14420062695924765,4.35,24.0,1.4371545065636766
20010525,191.9,0.592283950617284,11.5,20.0,2.2741507096576177
20010526,1527.9,4.789655172413793,61.0,144.0,13.175960805242326
20010527,3196.3,10.344012944983819,72.6,88.5,17.011753163873802
20010528,6570.8,22.273898305084746,146.1,286.0,32.77651438107336
20010529,12856.9,44.954195804195805,193.4,282.0,43.04788559759003
20010530,13788.0,50.32116788321168,214.4,283.5,53.433634300396015
20010531,7175.1,26.282417582417583,104.7,157.5,26.075611077334205
20010601,1104.0,3.5612903225806454,46.55,69.5,10.113602383610765
20010602,3087.9,10.362080536912751,54.95,95.5,13.355337458274363
20010603,2976.0,9.789473684210526,83.85,98.0,18.82225956111937
20010604,1108.8,3.5538461538461537,48.339999999999996,93.0,10.001970220112819
20010605,3458.2,12.176760563380281,94.55,208.0,20.788274273073494
20010606,1399.9,4.7454237288135594,37.1,71.0,7.922636806833711
20010607,3948.5,13.476109215017065,141.15,211.5,31.060870150180367
20010608,1887.6,6.39864406779661,61.5,115.0,13.852437765958486
20010609,932.0,3.0657894736842106,40.65,79.5,8.627286922311624
20010610,1179.5,3.8295454545454546,65.1,114.0,13.078338035370336
20010611,20.0,0.06329113924050633,1.45,8.0,0.47311978711470276
20010612,837.6,2.755263157894737,39.5,68.0,8.22761548139528
20010613,4170.2,14.787943262411346,70.45,81.5,19.484660179090966
20010614,16619.2,63.92,205.45,266.5,56.73489551617037
20010615,4309.0,15.61231884057971,105.3,134.0,23.565380690469368
20010616,2315.2,7.795286195286194,87.55,112.0,17.94473309340412
20010617,1984.8,6.423300970873786,46.6,66.5,10.627401268043169
20010618,5098.8,17.46164383561644,117.92,187.5,27.823293336561097
20010619,8591.6,31.24218181818182,178.8,228.0,43.64060705731049
20010620,3802.5,12.803030303030303,90.7,137.5,19.951920936752476
20010621,460.2,1.4563291139240506,20.05,28.5,4.170548237407737
20010622,2105.7,6.881372549019607,55.65,62.5,14.671871160314465
20010623,14493.1,53.678148148148146,184.35,244.5,50.74341340487504
20010624,1091.9,3.70135593220339,37.35,85.5,8.434473139710546
20010625,2477.7,8.258999999999999,84.4,117.0,18.290471626869913
20010626,2174.6,7.15328947368421,59.6,78.0,13.17120772228475
20010627,217.2,0.6851735015772871,17.07,39.0,3.5554287435327465
20010628,1363.0,4.411003236245954,57.9,91.0,11.776341071227492
20010629,381.5,1.2072784810126582,26.15,54.5,5.255549586303405
20010630,241.7,0.7673015873015873,19.619999999999997,39.5,3.918589479930209
20010701,154.2,1.1507462686567163,15.219999999999999,32.0,4.9512511048001375
20010702,2.5,0.018518518518518517,0.25,1.0,0.11233889546743038
20010703,7.5,0.02358490566037736,0.75,3.0,0.1988418764939433
20010704,7946.4,27.591666666666665,174.25,236.0,44.101959675531674
20010705,9570.5,32.66382252559727,208.55,308.5,51.957963335652224
20010706,1502.0,4.924590163934426,44.2,57.0,10.205785176141159
20010707,2451.5,7.959415584415584,79.9,120.0,17.577164079027536
20010708,1715.9,5.7387959866220735,54.029999999999994,96.0,11.393568855252592
20010709,3192.5,10.571192052980132,92.65,125.5,20.66967732768621
20010710,1479.6,4.998648648648649,56.55,109.5,12.182073041122965
20010711,9765.1,32.768791946308724,319.5,401.0,70.9797754483746
20010712,8534.0,29.83916083916084,162.45,200.0,42.7643870772517
20010713,1977.7,6.636577181208054,90.85,192.5,19.223429436264045
20010714,1339.2,4.524324324324325,49.65,109.0,11.079346024348466
20010715,3367.1,11.14933774834437,85.85,137.0,20.291018049095207
20010716,2288.0,7.6521739130434785,64.3,90.5,14.232360564830635
20010717,3637.0,12.003300330033003,77.4,107.5,17.18627097132769
20010718,722.8,2.3166666666666664,33.97,51.5,6.802269920282205
20010719,1647.4,5.331391585760518,53.7,97.5,11.853778158863143
20010720,19.0,0.060126582278481014,1.4,7.0,0.4260415195517804
20010721,192.8,0.5987577639751553,10.15,16.5,2.0300227204811123
20010722,585.5,1.8706070287539935,36.45,77.0,7.628664119289472
20010723,1565.0,5.11437908496732,46.2,72.5,10.353932146241558
20010724,1763.9,5.9996598639455785,53.06,71.0,12.130025428296108
20010725,4119.0,15.255555555555556,87.8,114.0,20.394822025016516
20010726,2808.4,9.552380952380952,71.95,85.5,16.70265094985926
20010727,3402.8,11.19342105263158,74.65,114.5,18.705433600725105
20010728,391.0,1.273615635179153,26.55,61.5,5.709588565313853
20010729,3286.9,11.866064981949458,83.2,141.5,19.525595625118147
20010730,51216.0,188.9889298892989,620.5,755.0,169.64587477885271
20010731,705.2,2.3744107744107747,26.7,39.5,5.615210680177507
20010801,1815.6,6.092617449664429,51.1,75.0,11.467480100718147
20010802,2176.5,7.08957654723127,64.65,85.0,14.47208102301285
20010803,178.9,0.5770967741935484,12.39,28.0,2.5776129161442114
20010804,349.8,1.1175718849840255,29.75,97.5,6.930258088365117
20010805,436.5,1.3901273885350318,27.95,54.5,5.6742684915069415
20010806,195.5,0.6206349206349207,11.1,18.0,2.2116544643980127
20010807,485.3,1.5807817589576547,27.4,47.5,5.492635463963816
20010808,695.5,2.3737201365187715,56.4,110.5,11.04309393708332
20010809,700.0,2.380952380952381,33.75,52.0,7.190633867712994
20010810,2496.9,8.133224755700326,79.0,161.0,17.834737277861198
20010811,3083.3,11.131046931407942,83.6,118.5,20.30134645428729
20010812,2143.9,7.7118705035971225,69.17,105.0,16.413107898557953
20010813,641.3,2.203780068728522,30.3,41.0,6.541515803699436
20010814,523.6,1.8180555555555555,27.0,38.0,5.490814966552195
20010815,865.8,2.829411764705882,38.65,54.0,7.7266695626120985
20010816,1926.0,6.3355263157894735,53.25,66.5,11.932788242875489
20010817,1014.3,3.4036912751677852,33.1,43.5,7.380285261123817
20010818,1564.5,5.339590443686006,52.35,78.5,11.479609575666675
20010819,966.8,3.149185667752443,61.9,152.0,12.93524681194946
20010820,658.1,2.23843537414966,43.15,90.5,9.130925190300132
20010821,192.5,0.6395348837209303,14.7,37.0,3.283978795179476
20010822,37.0,0.11708860759493671,3.7,21.5,1.2693660850879382
20010823,1142.8,3.809333333333333,53.75,106.0,11.480539166587759
20010824,1327.9,4.426333333333334,48.15,73.5,10.605923182616191
20010825,747.6,2.4592105263157897,35.35,57.5,7.417917987647757
20010826,1410.2,5.596031746031747,65.25,112.0,14.483386217195635
20010827,1594.6,6.644166666666666,44.339999999999996,123.0,11.483352412901422
20010828,3193.9,14.195111111111112,97.0,144.0,22.995018264564486
20010829,2841.2,12.914545454545454,69.22999999999999,83.0,17.487152875825135
20010830,4479.0,20.08520179372197,88.65,107.5,23.923870396218586
20010831,2252.2,12.174054054054054,39.339999999999996,56.0,9.692007144217582
20010901,10638.1,36.81003460207613,146.0,232.5,33.530530471515426
20010902,7674.3,26.37216494845361,112.05,150.5,29.329374022238625
20010903,6822.2,22.816722408026756,220.05,283.0,45.98412756505878
20010904,3328.1,10.80551948051948,89.9,122.5,20.318557238067704
20010905,8915.5,31.173076923076923,128.81,151.5,32.242851578995484
20010906,7046.0,28.184,101.8,116.0,24.891151520168773
20010907,1241.6,4.070819672131147,50.9,84.5,10.295555350920866
20010908,151.4,0.477602523659306,11.3,32.0,2.823320515209434
20010909,153.4,0.4948387096774194,9.6,24.5,2.045397462704265
20010910,180.3,0.5599378881987578,14.75,36.0,3.109838724202923
20010911,159.3,0.5073248407643313,14.26,81.0,4.739195943811729
20010912,223.5,0.7351973684210527,14.95,52.0,3.6594027177285895
20010913,496.2,1.5802547770700637,33.35,57.5,6.716098536570398
20010914,162.5,0.5078125,14.25,41.0,3.1085720539893797
20010915,1101.3,3.55258064516129,45.25,66.5,9.36045093611239
20010916,21188.1,73.06241379310345,483.35,637.0,126.83571128133657
20010917,51832.2,189.86153846153846,663.5,964.0,178.81681856384802
20010918,50497.7,180.9953405017921,656.7,767.5,159.15938770658474
20010919,4100.8,15.533333333333333,117.75,153.5,27.2733363147484
20010920,2551.7,8.505666666666666,92.7,156.0,18.82745870324039
20010921,977.3,3.183387622149837,28.5,37.0,6.6210269327754085
20010922,444.4,1.4522875816993464,19.9,31.0,4.253358303561227
20010923,8346.5,28.68213058419244,186.9,329.0,47.164984502893724
20010924,6760.9,23.805985915492958,141.45,197.5,36.43202525483336
20010925,13464.2,48.43237410071943,319.25,480.5,77.863434881117
20010926,24003.9,90.24022556390977,372.0,513.5,105.8578419637028
20010927,15587.5,60.183397683397686,278.3,424.5,61.30867526367717
20010928,8434.5,31.355018587360593,188.85999999999999,331.5,40.57428662388076
20010929,12112.0,45.36329588014981,188.75,228.0,49.044238239501475
20010930,1107.9,3.873776223776224,22.55,29.5,5.242428213366572
20020401,74.4,0.2361904761904762,3.5,10.0,0.7834952792504303
20020402,8.5,0.02514792899408284,0.75,2.0,0.15891870762061217
20020403,124.5,0.36617647058823527,11.85,54.5,3.3387920629243095
20020404,269.9,0.7961651917404129,11.1,15.0,2.1886169814053256
